Variable,Coeficiente,Odds Ratio,Valor p
const,-2.2144865900253294,0.10920956913978842,1.1158247937195573e-126
age,0.5092198510934894,1.6639925264843853,2.7582905457353535e-16
sysBP,0.40314353258387975,1.4965216758719175,4.479441991964622e-12
BMI,0.03647868154218519,1.0371521932967869,0.5339065543490822
glucose,0.14146539210435832,1.151960636637449,0.002606600731742756
male,0.5972607468883413,1.8171343857001683,4.0354144832469455e-07
