escenario,media_sysBP,probabilidad_sysBP_alta,probabilidad_sysBP_alta_%
Disminución 10%,119.20942237323575,0.13878724516466284,13.878724516466285
Escenario base,132.45491374803973,0.30371144798745425,30.371144798745426
Aumento 10%,145.70040512284373,0.5269210663878725,52.69210663878725
