Dataset,Observaciones,Accuracy,AUC,Coef_age,Coef_sysBP
Eliminación,3656,0.8523245214220602,0.7465198634988087,0.5075472726937555,0.4015165035947429
Imputación simple,4238,0.85062893081761,0.6998660244805447,0.5377588522971776,0.4065728700691986
Imputación regresión,4238,0.85062893081761,0.6995346871743651,0.5367805311854005,0.40625296064999555
