Modelo,Accuracy,Precision,Recall,F1,AUC
Modelo 1 (S1-S2),0.85062893081761,0.5789473684210527,0.05699481865284974,0.10377358490566038,0.6996547369229809
Modelo 2 (Stepwise),0.85062893081761,0.5789473684210527,0.05699481865284974,0.10377358490566038,0.6995202812045311
Modelo 3 (AIC),0.8498427672955975,0.5555555555555556,0.05181347150259067,0.0947867298578199,0.698305377748539
