Variable,Coeficiente medio,IC 2.5%,IC 97.5%
const,-2.2306318809153614,-2.4041135740960002,-2.0645469875137246
age,0.5407449629616666,0.4314040781725192,0.6553514863462635
sysBP,0.40907315916605375,0.29750038935114115,0.5209186366417602
BMI,-0.005315691005679858,-0.11923996479394798,0.10689341992984183
glucose,0.15856552209053584,0.05866250997941629,0.2533096663973927
male,0.6026753065663422,0.3864064212380227,0.8229068186199959
