Variable,Coeficiente medio,IC 2.5%,IC 97.5%,Odds Ratio,OR IC inferior,OR IC superior
const,-2.2306318809153614,-2.4041135740960002,-2.0645469875137246,0.10746050643503849,0.09034554475690743,0.12687575385192032
age,0.5407449629616666,0.4314040781725192,0.6553514863462635,1.7172857000234207,1.5394174692941247,1.9258192976183715
sysBP,0.40907315916605375,0.29750038935114115,0.5209186366417602,1.5054218518641922,1.346488899609663,1.6835735318736451
BMI,-0.005315691005679858,-0.11923996479394798,0.10689341992984183,0.9946984122791203,0.8875947837052941,1.1128156441892605
glucose,0.15856552209053584,0.05866250997941629,0.2533096663973927,1.1718287023761695,1.0604173000864237,1.2882821527652788
male,0.6026753065663422,0.3864064212380227,0.8229068186199959,1.8270000532944541,1.4716826723799288,2.277109370439516
