Variable,VIF,Decisión
currentSmoker,1.537240875959694,Mantener
male,1.5009573598638997,Mantener
age,1.2778260953842446,Mantener
sysBP,1.218681868671504,Mantener
totChol,1.0958978643546409,Mantener
glucose,1.0251677916203594,Mantener
