Variable,Coeficiente,Error estándar,p-valor,IC coef. inferior,IC coef. superior,Odds Ratio,IC OR inferior,IC OR superior,Significativa 5 %
const,-0.6902784160265509,0.0696295906612531,3.633920953068712e-23,-0.8267499059808735,-0.5538069260722284,0.5014364416880449,0.43746879301462654,0.5747575805809796,Sí
age,0.6091852011936792,0.046468982360597516,2.905009752173342e-39,0.518107669368681,0.7002627330186775,1.8389324282374302,1.6788477069550911,2.014281856307572,Sí
sysBP,0.3761331318197001,0.04223691397849523,5.323343482550609e-19,0.2933503016037331,0.4589159620356671,1.4566410461359687,1.3409124319441672,1.5823577190732143,Sí
totChol,0.12528126367204745,0.0398510257954305,0.0016680357366017163,0.04717468836602702,0.2033878389780679,1.1334672113871773,1.0483051197940088,1.2255476912506884,Sí
glucose,0.16047494549319782,0.037522468664990954,1.896250544224649e-05,0.08693225829878283,0.23401763268761283,1.1740683570684767,1.0908227830243136,1.2636667738528047,Sí
male,0.4837997756513415,0.08380648597832241,7.795561040568752e-09,0.3195420814629686,0.6480574698397145,1.6222268038275525,1.3764972963673088,1.911823444914582,Sí
currentSmoker,0.42686751802094935,0.08675559889131497,8.639158632471341e-07,0.25682966873676893,0.5969053673051298,1.5324496263157596,1.2928248995058236,1.8164887279731212,Sí
