Variable,Odds Ratio,IC 95 % OR inferior,IC 95 % OR superior,Significativa según bootstrap
const,0.5014364416880449,0.4152603469117132,0.5891074238355739,Sí
age,1.8389324282374302,1.6394527864409445,2.0868124816051776,Sí
sysBP,1.4566410461359687,1.3059656476766157,1.6304170805231397,Sí
totChol,1.1334672113871773,1.0087180851750102,1.2697413048966144,Sí
glucose,1.1740683570684767,1.0706445371670685,1.2890619725732586,Sí
male,1.6222268038275525,1.2802972165896132,2.055492653620227,Sí
currentSmoker,1.5324496263157596,1.212597338900524,1.9576472270098422,Sí
