Hipótesis,Prueba aplicada,Nivel de significancia,Valor p unilateral,Cohen_d,Decisión
Presión sistólica según enfermedad coronaria,t de Welch unilateral,0.05,6.048081698475901e-31,0.6173898104017582,Se rechaza H0
Glucosa según diabetes,t de Welch unilateral,0.05,1.51915594602113e-19,4.820266328161368,Se rechaza H0
